movieId,Director,TopTwoActors,releaseDate
72998,James Cameron,"['Sam Worthington', 'Zoe Saldana']",2009-12-10
53125,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom']",2007-05-19
136020,Sam Mendes,"['Daniel Craig', 'Christoph Waltz']",2015-10-26
91529,Christopher Nolan,"['Christian Bale', 'Michael Caine']",2012-07-16
93363,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins']",2012-03-07
52722,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst']",2007-05-01
81847,Byron Howard,"['Zachary Levi', 'Mandy Moore']",2010-11-24
122892,Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth']",2015-04-22
69844,David Yates,"['Daniel Radcliffe', 'Rupert Grint']",2009-07-07
136864,Zack Snyder,"['Ben Affleck', 'Henry Cavill']",2016-03-23
46530,Bryan Singer,"['Brandon Routh', 'Kevin Spacey']",2006-06-28
63113,Marc Forster,"['Daniel Craig', 'Olga Kurylenko']",2008-10-30
45722,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom']",2006-06-20
103384,Gore Verbinski,"['Johnny Depp', 'Armie Hammer']",2013-07-03
103042,Zack Snyder,"['Henry Cavill', 'Amy Adams']",2013-06-12
59501,Andrew Adamson,"['Ben Barnes', 'William Moseley']",2008-05-15
89745,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans']",2012-04-25
86880,Rob Marshall,"['Johnny Depp', 'Penélope Cruz']",2011-05-14
94777,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones']",2012-05-23
118696,Peter Jackson,"['Martin Freeman', 'Ian McKellen']",2014-12-10
95510,Marc Webb,"['Andrew Garfield', 'Emma Stone']",2012-06-27
77866,Ridley Scott,"['Russell Crowe', 'Cate Blanchett']",2010-05-12
106489,Peter Jackson,"['Martin Freeman', 'Ian McKellen']",2013-12-11
56171,Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman']",2007-12-04
41569,Peter Jackson,"['Naomi Watts', 'Jack Black']",2005-12-14
1721,James Cameron,"['Kate Winslet', 'Leonardo DiCaprio']",1997-11-18
122920,Anthony Russo,"['Chris Evans', 'Robert Downey Jr.']",2016-04-27
