movie_id,title,Director,Top Two Actors,release_date
19995,Avatar,James Cameron,"['Sam Worthington', 'Zoe Saldana']",2009-12-10
285,Pirates of the Caribbean: At World's End,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom']",2007-05-19
206647,Spectre,Sam Mendes,"['Daniel Craig', 'Christoph Waltz']",2015-10-26
49026,The Dark Knight Rises,Christopher Nolan,"['Christian Bale', 'Michael Caine']",2012-07-16
49529,John Carter,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins']",2012-03-07
559,Spider-Man 3,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst']",2007-05-01
38757,Tangled,Byron Howard,"['Zachary Levi', 'Mandy Moore']",2010-11-24
99861,Avengers: Age of Ultron,Joss Whedon,"['Robert Downey Jr.', 'Chris Hemsworth']",2015-04-22
767,Harry Potter and the Half-Blood Prince,David Yates,"['Daniel Radcliffe', 'Rupert Grint']",2009-07-07
209112,Batman v Superman: Dawn of Justice,Zack Snyder,"['Ben Affleck', 'Henry Cavill']",2016-03-23
1452,Superman Returns,Bryan Singer,"['Brandon Routh', 'Kevin Spacey']",2006-06-28
10764,Quantum of Solace,Marc Forster,"['Daniel Craig', 'Olga Kurylenko']",2008-10-30
58,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom']",2006-06-20
57201,The Lone Ranger,Gore Verbinski,"['Johnny Depp', 'Armie Hammer']",2013-07-03
49521,Man of Steel,Zack Snyder,"['Henry Cavill', 'Amy Adams']",2013-06-12
2454,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,"['Ben Barnes', 'William Moseley']",2008-05-15
24428,The Avengers,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans']",2012-04-25
1865,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"['Johnny Depp', 'Penélope Cruz']",2011-05-14
41154,Men in Black 3,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones']",2012-05-23
122917,The Hobbit: The Battle of the Five Armies,Peter Jackson,"['Martin Freeman', 'Ian McKellen']",2014-12-10
1930,The Amazing Spider-Man,Marc Webb,"['Andrew Garfield', 'Emma Stone']",2012-06-27
20662,Robin Hood,Ridley Scott,"['Russell Crowe', 'Cate Blanchett']",2010-05-12
57158,The Hobbit: The Desolation of Smaug,Peter Jackson,"['Martin Freeman', 'Ian McKellen']",2013-12-11
2268,The Golden Compass,Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman']",2007-12-04
254,King Kong,Peter Jackson,"['Naomi Watts', 'Jack Black']",2005-12-14
597,Titanic,James Cameron,"['Kate Winslet', 'Leonardo DiCaprio']",1997-11-18
271110,Captain America: Civil War,Anthony Russo,"['Chris Evans', 'Robert Downey Jr.']",2016-04-27
44833,Battleship,Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård']",2012-04-11
135397,Jurassic World,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard']",2015-06-09
37724,Skyfall,Sam Mendes,"['Daniel Craig', 'Judi Dench']",2012-10-25
558,Spider-Man 2,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst']",2004-06-25
68721,Iron Man 3,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow']",2013-04-18
